Index,CorrectedValue
0,0.0000
1,0.0000
2,0.0000
3,0.2958
4,1.4613
5,2.6267
6,3.7921
7,4.9574
8,6.1228
9,7.2881
10,8.4535
11,9.6188
12,10.7841
13,11.9494
14,13.1146
15,14.2799
16,15.4451
17,16.6103
18,17.7755
19,18.9407
20,20.1059
21,21.2711
22,22.4362
23,23.6013
24,24.7664
25,25.9315
26,27.0966
27,28.2617
28,29.4267
29,30.5918
30,31.7568
31,32.9218
32,34.0868
33,35.2518
34,36.4167
35,37.5817
36,38.7466
37,39.9116
38,41.0765
39,42.2413
40,43.4062
41,44.5711
42,45.7359
43,46.9008
44,48.0656
45,49.2304
46,50.3952
47,51.5599
48,52.7247
49,53.8894
50,55.0542
51,56.2189
52,57.3836
53,58.5483
54,59.7129
55,60.8776
56,62.0422
57,63.2069
58,64.3715
59,65.5361
60,66.7007
61,67.8653
62,69.0298
63,70.1944
64,71.3589
65,72.5234
66,73.6879
67,74.8524
68,76.0169
69,77.1814
70,78.3458
71,79.5102
72,80.6747
73,81.8391
74,83.0035
75,84.1678
76,85.3322
77,86.4966
78,87.6609
79,88.8252
80,89.9895
81,91.1538
82,92.3181
83,93.4824
84,94.6467
85,95.8109
86,96.9751
87,98.1394
88,99.3036
89,100.4678
90,101.6319
91,102.7961
92,103.9603
93,105.1244
94,106.2885
95,107.4526
96,108.6167
97,109.7808
98,110.9449
99,112.1090
100,113.2730
101,114.4371
102,115.6011
103,116.7651
104,117.9291
105,119.0931
106,120.2570
107,121.4210
108,122.5850
109,123.7489
110,124.9128
111,126.0767
112,127.2406
113,128.4045
114,129.5684
115,130.7322
116,131.8961
117,133.0599
118,134.2237
119,135.3875
120,136.5513
121,137.7151
122,138.8789
123,140.0427
124,141.2064
125,142.3701
126,143.5339
127,144.6976
128,145.8613
129,147.0250
130,148.1886
131,149.3523
132,150.5159
133,151.6796
134,152.8432
135,154.0068
136,155.1704
137,156.3340
138,157.4976
139,158.6612
140,159.8247
141,160.9883
142,162.1518
143,163.3153
144,164.4788
145,165.6423
146,166.8058
147,167.9693
148,169.1327
149,170.2962
150,171.4596
151,172.6230
152,173.7865
153,174.9499
154,176.1133
155,177.2766
156,178.4400
157,179.6034
158,180.7667
159,181.9300
160,183.0934
161,184.2567
162,185.4200
163,186.5833
164,187.7465
165,188.9098
166,190.0731
167,191.2363
168,192.3995
169,193.5628
170,194.7260
171,195.8892
172,197.0524
173,198.2155
174,199.3787
175,200.5419
176,201.7050
177,202.8681
178,204.0313
179,205.1944
180,206.3575
181,207.5206
182,208.6837
183,209.8467
184,211.0098
185,212.1728
186,213.3359
187,214.4989
188,215.6619
189,216.8249
190,217.9879
191,219.1509
192,220.3139
193,221.4768
194,222.6398
195,223.8027
196,224.9656
197,226.1286
198,227.2915
199,228.4544
200,229.6173
201,230.7801
202,231.9430
203,233.1059
204,234.2687
205,235.4316
206,236.5944
207,237.7572
208,238.9200
209,240.0828
210,241.2456
211,242.4084
212,243.5711
213,244.7339
214,245.8966
215,247.0594
216,248.2221
217,249.3848
218,250.5475
219,251.7102
220,252.8729
221,254.0356
222,255.1982
223,256.3609
224,257.5236
225,258.6862
226,259.8488
227,261.0114
228,262.1740
229,263.3366
230,264.4992
231,265.6618
232,266.8244
233,267.9869
234,269.1495
235,270.3120
236,271.4746
237,272.6371
238,273.7996
239,274.9621
240,276.1246
241,277.2871
242,278.4495
243,279.6120
244,280.7745
245,281.9369
246,283.0993
247,284.2618
248,285.4242
249,286.5866
250,287.7490
251,288.9114
252,290.0737
253,291.2361
254,292.3985
255,293.5608
256,294.7232
257,295.8855
258,297.0478
259,298.2102
260,299.3725
261,300.5348
262,301.6970
263,302.8593
264,304.0216
265,305.1839
266,306.3461
267,307.5083
268,308.6706
269,309.8328
270,310.9950
271,312.1572
272,313.3194
273,314.4816
274,315.6438
275,316.8060
276,317.9681
277,319.1303
278,320.2924
279,321.4546
280,322.6167
281,323.7788
282,324.9409
283,326.1030
284,327.2651
285,328.4272
286,329.5893
287,330.7514
288,331.9134
289,333.0755
290,334.2375
291,335.3996
292,336.5616
293,337.7236
294,338.8856
295,340.0476
296,341.2096
297,342.3716
298,343.5336
299,344.6955
300,345.8575
301,347.0194
302,348.1814
303,349.3433
304,350.5052
305,351.6672
306,352.8291
307,353.9910
308,355.1529
309,356.3148
310,357.4766
311,358.6385
312,359.8004
313,360.9622
314,362.1241
315,363.2859
316,364.4477
317,365.6095
318,366.7714
319,367.9332
320,369.0950
321,370.2567
322,371.4185
323,372.5803
324,373.7421
325,374.9038
326,376.0656
327,377.2273
328,378.3890
329,379.5508
330,380.7125
331,381.8742
332,383.0359
333,384.1976
334,385.3593
335,386.5210
336,387.6826
337,388.8443
338,390.0060
339,391.1676
340,392.3292
341,393.4909
342,394.6525
343,395.8141
344,396.9757
345,398.1373
346,399.2989
347,400.4605
348,401.6221
349,402.7837
350,403.9452
351,405.1068
352,406.2684
353,407.4299
354,408.5914
355,409.7530
356,410.9145
357,412.0760
358,413.2375
359,414.3990
360,415.5605
361,416.7220
362,417.8835
363,419.0449
364,420.2064
365,421.3679
366,422.5293
367,423.6907
368,424.8522
369,426.0136
370,427.1750
371,428.3364
372,429.4978
373,430.6592
374,431.8206
375,432.9820
376,434.1434
377,435.3048
378,436.4661
379,437.6275
380,438.7888
381,439.9502
382,441.1115
383,442.2729
384,443.4342
385,444.5955
386,445.7568
387,446.9181
388,448.0794
389,449.2407
390,450.4020
391,451.5632
392,452.7245
393,453.8858
394,455.0470
395,456.2083
396,457.3695
397,458.5307
398,459.6920
399,460.8532
400,462.0144
401,463.1756
402,464.3368
403,465.4980
404,466.6592
405,467.8204
406,468.9815
407,470.1427
408,471.3039
409,472.4650
410,473.6262
411,474.7873
412,475.9485
413,477.1096
414,478.2707
415,479.4318
416,480.5929
417,481.7540
418,482.9151
419,484.0762
420,485.2373
421,486.3984
422,487.5594
423,488.7205
424,489.8816
425,491.0426
426,492.2037
427,493.3647
428,494.5257
429,495.6868
430,496.8478
431,498.0088
432,499.1698
433,500.3308
434,501.4918
435,502.6528
436,503.8138
437,504.9747
438,506.1357
439,507.2967
440,508.4576
441,509.6186
442,510.7795
443,511.9405
444,513.1014
445,514.2623
446,515.4232
447,516.5842
448,517.7451
449,518.9060
450,520.0669
451,521.2277
452,522.3886
453,523.5495
454,524.7104
455,525.8712
456,527.0321
457,528.1930
458,529.3538
459,530.5147
460,531.6755
461,532.8363
462,533.9971
463,535.1580
464,536.3188
465,537.4796
466,538.6404
467,539.8012
468,540.9620
469,542.1227
470,543.2835
471,544.4443
472,545.6051
473,546.7658
474,547.9266
475,549.0873
476,550.2481
477,551.4088
478,552.5695
479,553.7303
480,554.8910
481,556.0517
482,557.2124
483,558.3731
484,559.5338
485,560.6945
486,561.8552
487,563.0159
488,564.1765
489,565.3372
490,566.4979
491,567.6585
492,568.8192
493,569.9798
494,571.1405
495,572.3011
496,573.4617
497,574.6224
498,575.7830
499,576.9436
500,578.1042
501,579.2648
502,580.4254
503,581.5860
504,582.7466
505,583.9072
506,585.0677
507,586.2283
508,587.3889
509,588.5494
510,589.7100
511,590.8705
512,592.0311
513,593.1916
514,594.3521
515,595.5127
516,596.6732
517,597.8337
518,598.9942
519,600.1547
520,601.3152
521,602.4757
522,603.6362
523,604.7967
524,605.9572
525,607.1176
526,608.2781
527,609.4386
528,610.5990
529,611.7595
530,612.9199
531,614.0803
532,615.2408
533,616.4012
534,617.5616
535,618.7221
536,619.8825
537,621.0429
538,622.2033
539,623.3637
540,624.5241
541,625.6845
542,626.8449
543,628.0052
544,629.1656
545,630.3260
546,631.4863
547,632.6467
548,633.8071
549,634.9674
550,636.1277
551,637.2881
552,638.4484
553,639.6087
554,640.7691
555,641.9294
556,643.0897
557,644.2500
558,645.4103
559,646.5706
560,647.7309
561,648.8912
562,650.0515
563,651.2117
564,652.3720
565,653.5323
566,654.6925
567,655.8528
568,657.0130
569,658.1733
570,659.3335
571,660.4938
572,661.6540
573,662.8142
574,663.9745
575,665.1347
576,666.2949
577,667.4551
578,668.6153
579,669.7755
580,670.9357
581,672.0959
582,673.2561
583,674.4162
584,675.5764
585,676.7366
586,677.8967
587,679.0569
588,680.2171
589,681.3772
590,682.5373
591,683.6975
592,684.8576
593,686.0177
594,687.1779
595,688.3380
596,689.4981
597,690.6582
598,691.8183
599,692.9784
600,694.1385
601,695.2986
602,696.4587
603,697.6188
604,698.7789
605,699.9389
606,701.0990
607,702.2591
608,703.4191
609,704.5792
610,705.7392
611,706.8993
612,708.0593
613,709.2193
614,710.3794
615,711.5394
616,712.6994
617,713.8594
618,715.0194
619,716.1794
620,717.3394
621,718.4994
622,719.6594
623,720.8194
624,721.9794
625,723.1394
626,724.2993
627,725.4593
628,726.6193
629,727.7792
630,728.9392
631,730.0991
632,731.2591
633,732.4190
634,733.5789
635,734.7389
636,735.8988
637,737.0587
638,738.2186
639,739.3786
640,740.5385
641,741.6984
642,742.8583
643,744.0182
644,745.1780
645,746.3379
646,747.4978
647,748.6577
648,749.8175
649,750.9774
650,752.1373
651,753.2971
652,754.4570
653,755.6168
