StartTime,RunMode,TT(s),MemoryUsed(GB),ResultFolder
07:49:29,Offline,422,8.114891052,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_074929\
07:56:36,Offline,409,8.382472992,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_075636\
08:03:30,Offline,428,4.991916656,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_080330\
08:10:43,Offline,409,8.645175934,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_081043\
08:17:36,Offline,422,8.916069031,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_081736\
08:24:43,Offline,430,12.6556282,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_082443\
08:31:57,Offline,417,5.684490204,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_083157\
08:38:59,Offline,415,5.533073425,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_083859\
08:45:59,Offline,407,5.328586578,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_084559\
08:52:50,Offline,436,16.90123367,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_085250\
09:00:10,Offline,429,6.271373749,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_090010\
09:07:24,Offline,416,20.85314941,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_090724\
09:14:25,Offline,423,6.341194153,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_091425\
09:21:32,Offline,399,6.377086639,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_092132\
09:28:16,Offline,419,17.45720291,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_092816\
09:35:20,Offline,416,6.486820221,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_093520\
09:42:20,Offline,425,5.423809052,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_094220\
09:49:30,Offline,422,5.107822418,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_094930\
09:56:37,Offline,432,5.828018188,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_095637\
10:03:53,Offline,407,5.893241882,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_100353\
10:10:45,Offline,414,20.53967285,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_101045\
10:17:43,Offline,411,9.665122986,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_101743\
10:24:39,Offline,429,20.79626465,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_102439\
10:31:53,Offline,450,12.94146347,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_103153\
10:39:27,Offline,416,24.14805984,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_103927\
10:46:28,Offline,424,24.15895844,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_104628\
10:53:36,Offline,424,13.25716019,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_105336\
11:00:45,Offline,415,10.0112648,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_110045\
11:07:44,Offline,426,6.349308014,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_110744\
11:14:55,Offline,443,4.819141388,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_111455\
11:22:23,Offline,430,10.24942398,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_112223\
11:29:38,Offline,426,24.78531265,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_112938\
11:36:49,Offline,417,11.23315811,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_113649\
11:43:50,Offline,428,8.175338745,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_114350\
11:51:03,Offline,418,8.630775452,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_115103\
11:58:06,Offline,427,8.251140594,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_115806\
12:05:18,Offline,411,4.909122467,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_120518\
12:12:13,Offline,422,12.12676239,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_121213\
12:19:19,Offline,409,15.63475418,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_121919\
12:26:13,Offline,414,12.28957748,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_122613\
12:33:11,Offline,419,15.79452133,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_123311\
12:40:15,Offline,410,12.16430283,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_124015\
12:47:09,Offline,414,12.29204559,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_124709\
12:54:07,Offline,415,8.426525116,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_125407\
13:01:06,Offline,405,9.091251373,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_130106\
13:07:56,Offline,415,23.31324387,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_130756\
13:14:55,Offline,420,12.31493378,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_131455\
13:22:00,Offline,416,10.954216,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_132200\
13:29:01,Offline,419,8.329017639,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_132901\
13:36:05,Offline,420,7.861206055,D:\AIC PlatForm\Result\Offline\CycleTest\20260603_133605\
